CASE,SD01,SD03,SD17,SD19,SM01,SM04,SM04_01,SM05_01,SM05_02,SM06_01,SM06_02,SM06_03,SM06_04,SM06_05,SM06_06,SM06_07,SE01_01,SE01_02,SE01_03,SE01_04,SE01_05,SE01_06,SE01_07,SE01_08,SE01_09,MISSREL,TIME_RSI,DEG_TIME
39,male,22,500 € up to 1000 €,Bachelor,Yes,Approx.,25,0,38,2-6 times a week,Several times a day,Several times a day,Less than once a week,Several times a day,2-6 times a week,Less than once a week,Niether agreement nor disagreement,Moderate agreement,Slight agreement,Niether agreement nor disagreement,Moderate agreement,Slight agreement,Slight agreement,Moderate agreement,Niether agreement nor disagreement,0,"1,78",43
40,female,43,1000 € up to 1500 €,Bachelor,Yes,I have not visited Instagram today.,,1,39,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Less than once a week,Strong disagreement,Strong agreement,Strong disagreement,Strong agreement,Strong agreement,Moderate disagreement,Strong disagreement,Moderate agreement,Strong disagreement,0,"0,49",0
41,female,41,4000 € up to 5000 €,Bachelor,Yes,Approx.,60,0,15,Several times a day,Once a day,Several times a day,Never,Several times a day,2-6 times a week,Once a week,Strong agreement,Strong agreement,Moderate agreement,Strong agreement,Moderate disagreement,Strong agreement,Strong agreement,Strong agreement,Strong agreement,0,"0,53",0
43,male,21,500 € up to 1000 €,High school,Yes,Approx.,40,0,42,Never,Once a week,Several times a day,Several times a day,Less than once a week,Never,Less than once a week,Niether agreement nor disagreement,Moderate agreement,Niether agreement nor disagreement,Strong agreement,Moderate agreement,Niether agreement nor disagreement,Strong disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,0,"1,35",17
44,female,21,less than 250 €,Bachelor,Yes,Approx.,4,0,41,2-6 times a week,Once a day,Several times a day,Less than once a week,Several times a day,Less than once a week,Less than once a week,Slight disagreement,Strong agreement,Niether agreement nor disagreement,Slight agreement,Strong agreement,Moderate agreement,Slight agreement,Slight disagreement,Slight disagreement,0,"0,74",0
49,,,,,Yes,,,,,,,,,,,,,,,,,,,,,0,"1,31",16
50,female,28,2000 € up to 3000 €,Master,Yes,Approx.,60,1,15,Less than once a week,Less than once a week,Several times a day,2-6 times a week,2-6 times a week,Once a week,Less than once a week,Slight agreement,Strong agreement,Slight disagreement,Strong agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Moderate disagreement,Slight agreement,Niether agreement nor disagreement,0,"1,9",60
52,,,,,Yes,,,,,,,,,,,,,,,,,,,,,0,"0,96",0
53,female,26,1000 € up to 1500 €,Bachelor,Yes,Approx.,10,0,7,Never,Never,Several times a day,Never,Less than once a week,Never,Never,Niether agreement nor disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Moderate agreement,Slight disagreement,Slight agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,0,"1,9",48
54,male,28,1500 € up to 2000 €,Master,Yes,Approx.,45,0,18,Once a week,2-6 times a week,Once a day,Less than once a week,2-6 times a week,Less than once a week,Less than once a week,Niether agreement nor disagreement,Strong agreement,Slight disagreement,Moderate agreement,Strong agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Slight agreement,Moderate disagreement,0,"0,38",0
55,male,25,less than 250 €,Other,Yes,Approx.,120,1,24,Once a week,Several times a day,Several times a day,Less than once a week,2-6 times a week,Less than once a week,Less than once a week,Niether agreement nor disagreement,Niether agreement nor disagreement,Slight disagreement,Niether agreement nor disagreement,Strong agreement,Niether agreement nor disagreement,Strong disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,0,"1,26",16
61,,,,,Yes,,,,,,,,,,,,,,,,,,,,,0,"1,43",21
62,female,18,I do not wish to answer,School,Yes,Approx.,30,1,20,Less than once a week,Less than once a week,Several times a day,2-6 times a week,Several times a day,Never,Less than once a week,Moderate agreement,Strong agreement,Strong agreement,Moderate agreement,Niether agreement nor disagreement,Slight disagreement,Slight agreement,Slight agreement,Niether agreement nor disagreement,0,"1,78",55
63,female,24,2000 € up to 3000 €,Bachelor,Yes,Approx.,60,0,58,Once a week,2-6 times a week,Several times a day,Never,Once a day,2-6 times a week,Less than once a week,Niether agreement nor disagreement,Niether agreement nor disagreement,Slight disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Moderate disagreement,0,"0,9",9
64,,,,,Yes,,,,,,,,,,,,,,,,,,,,,0,"1,75",38
66,,,,,Yes,Approx.,20,0,20,Once a week,Once a day,Once a day,Less than once a week,Less than once a week,Never,Never,,,,,,,,,,0,"0,97",7
68,,,,,Yes,,,,,,,,,,,,,,,,,,,,,0,"1,15",8
69,male,28,2000 € up to 3000 €,Master,Yes,Approx.,15,0,50,Once a week,Once a week,Several times a day,Less than once a week,Once a day,2-6 times a week,Less than once a week,Slight agreement,Strong agreement,Niether agreement nor disagreement,Slight agreement,Strong agreement,Moderate agreement,Moderate agreement,Moderate agreement,Slight agreement,0,"1,57",30
70,,,,,Yes,,,,,,,,,,,,,,,,,,,,,0,"0,7",0
72,female,>50,1000 € up to 1500 €,High school,Yes,Approx.,5,0,10,Once a week,2-6 times a week,Several times a day,Less than once a week,Once a week,Several times a day,Less than once a week,Niether agreement nor disagreement,Moderate agreement,Moderate disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Slight agreement,Moderate disagreement,Slight agreement,Moderate disagreement,0,"0,65",0
73,female,22,1000 € up to 1500 €,High school,Yes,Approx.,60,1,11,Once a week,2-6 times a week,Several times a day,Less than once a week,2-6 times a week,2-6 times a week,Less than once a week,Slight disagreement,Niether agreement nor disagreement,Slight disagreement,Slight agreement,Moderate agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Slight disagreement,Slight disagreement,0,"0,86",4
74,female,22,2000 € up to 3000 €,High school,Yes,Approx.,10,1,8,Never,Never,Several times a day,Never,Several times a day,Never,Less than once a week,Moderate disagreement,Slight disagreement,Moderate disagreement,Moderate agreement,Moderate agreement,Niether agreement nor disagreement,Slight disagreement,Slight disagreement,Slight disagreement,0,"1,18",14
75,female,25,500 € up to 1000 €,Bachelor,Yes,Approx.,15,0,36,Once a week,Once a week,2-6 times a week,Less than once a week,Once a week,Less than once a week,Never,Slight disagreement,Moderate agreement,Niether agreement nor disagreement,Slight disagreement,Strong agreement,Slight agreement,Slight disagreement,Slight agreement,Strong disagreement,0,"1,77",42
76,male,>50,3000 € up to 4000 €,School,Yes,Approx.,20,1,0,Several times a day,Several times a day,Several times a day,Never,Several times a day,Several times a day,Once a week,Moderate disagreement,Slight disagreement,Strong disagreement,Moderate disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Slight agreement,Niether agreement nor disagreement,0,"0,88",0
77,female,24,2000 € up to 3000 €,Other,Yes,Approx.,10,2,23,2-6 times a week,Less than once a week,Several times a day,Less than once a week,Several times a day,Less than once a week,2-6 times a week,Niether agreement nor disagreement,Moderate agreement,Slight disagreement,Slight agreement,Slight disagreement,Slight agreement,Moderate agreement,Slight agreement,Slight agreement,0,"0,72",0
79,male,23,less than 250 €,Bachelor,Yes,I have not visited Instagram today.,,1,10,Less than once a week,2-6 times a week,2-6 times a week,Less than once a week,Once a week,2-6 times a week,Less than once a week,Strong disagreement,Niether agreement nor disagreement,Strong disagreement,Strong disagreement,Moderate agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Slight disagreement,0,"1,41",30
82,male,24,500 € up to 1000 €,High school,Yes,Approx.,60,0,50,Once a week,Once a week,Several times a day,Several times a day,Several times a day,2-6 times a week,Less than once a week,Niether agreement nor disagreement,Slight agreement,Niether agreement nor disagreement,Moderate agreement,Slight disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Slight agreement,Niether agreement nor disagreement,0,"1,05",12
84,male,24,I do not wish to answer,Other,Yes,Approx.,10,0,30,Never,Once a week,Several times a day,Once a week,Once a week,Less than once a week,Never,Niether agreement nor disagreement,Niether agreement nor disagreement,Slight agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Slight agreement,Niether agreement nor disagreement,0,"0,64",0
86,male,23,4000 € up to 5000 €,Bachelor,Yes,Approx.,20,0,49,Never,Never,Several times a day,Once a week,Several times a day,Once a week,Less than once a week,Slight disagreement,Niether agreement nor disagreement,Strong disagreement,Niether agreement nor disagreement,Moderate agreement,Strong disagreement,Slight agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,0,"0,81",4
87,male,24,2000 € up to 3000 €,Bachelor,Yes,Approx.,30,1,17,Less than once a week,Once a day,Several times a day,Never,2-6 times a week,Never,Never,Moderate agreement,Moderate agreement,Moderate agreement,Moderate agreement,Slight disagreement,Moderate agreement,Moderate agreement,Moderate agreement,Moderate agreement,0,"1,24",16
