CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,SD01,SD03,SD17,SD19,SM01,SM04,SM04_01,SM05_01,SM05_02,SM06_01,SM06_02,SM06_03,SM06_04,SM06_05,SM06_06,SM06_07,SE01_01,SE01_02,SE01_03,SE01_04,SE01_05,SE01_06,SE01_07,SE01_08,SE01_09,SC07,TIME001,TIME002,TIME003,TIME004,TIME005,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
39,,,base,interview,2022-06-16 13:49:34,2,5,3,3,1,1,25,0,38,4,6,6,2,6,4,2,4,6,5,4,6,5,5,6,4,1,4,5,62,46,15,132,,2022-06-16 13:51:46,1,0,5,5,0,0,"1,79",44
40,,,base,interview,2022-06-16 13:52:25,1,26,4,3,1,2,,1,39,6,6,6,6,6,6,2,1,7,1,7,7,2,1,6,1,1,86,6,184,244,35,386,,2022-06-16 14:01:40,1,0,5,5,0,0,"0,49",0
41,,,base,interview,2022-06-16 14:28:06,1,24,8,3,1,1,60,0,15,6,5,6,1,6,4,3,7,7,6,7,2,7,7,7,7,1,54,6,209,112,46,427,,2022-06-16 14:35:13,1,0,5,5,0,0,"0,53",0
43,,,base,interview,2022-06-16 15:07:44,2,4,3,2,1,1,40,0,42,1,3,6,6,2,1,2,4,6,4,7,6,4,1,4,4,1,8,3,70,74,21,176,,2022-06-16 15:10:40,1,0,5,5,0,0,"1,35",18
44,,,base,interview,2022-06-16 15:54:20,1,4,1,3,1,1,4,0,41,4,5,6,2,6,2,2,3,7,4,5,7,6,5,3,3,1,21,4,124,141,39,329,,2022-06-16 15:59:49,1,0,5,5,0,0,"0,74",0
49,,,base,interview,2022-06-21 17:48:37,,,,,1,,,,,,,,,,,,,,,,,,,,,1,8,4,,,,12,,2022-06-21 17:48:49,0,0,2,2,0,0,"1,31",16
50,,,base,interview,2022-06-21 17:49:41,1,11,6,4,1,1,60,1,15,2,2,6,4,4,3,2,5,7,3,7,4,4,2,5,4,1,3,2,66,88,13,172,,2022-06-21 17:52:33,1,0,5,5,0,0,"1,91",60
52,,,base,interview,2022-06-21 18:01:00,,,,,1,,,,,,,,,,,,,,,,,,,,,1,14,4,,,,18,,2022-06-21 18:01:18,0,0,2,2,0,0,"0,96",0
53,,,base,interview,2022-06-21 18:02:24,1,9,4,3,1,1,10,0,7,1,1,6,1,2,1,1,4,4,4,6,3,5,4,4,4,1,4,2,53,66,19,144,,2022-06-21 18:04:48,1,0,5,5,0,0,"1,91",48
54,,,base,interview,2022-06-21 18:40:07,2,11,5,4,1,1,45,0,18,3,4,5,2,4,2,2,4,7,3,6,7,4,4,5,2,1,136,7,258,185,63,526,,2022-06-21 18:50:56,1,0,5,5,0,0,"0,38",0
